date,transaction_date,month,year_month,week_key,day_name,day_order,hour,channel,total_transactions,total_message_units,billable_amount,success_count,failed_count,pending_count,rna_count,active_users
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,14,Email,49,49,1750,36,2,11,0,13
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,14,SMS,16,18,9000,16,0,0,0,6
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,14,WhatsApp,38,38,7950,30,1,7,0,14
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,15,Call/IVR,20,20,2260,3,0,0,17,9
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,15,Email,46,46,1850,37,0,9,0,11
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,15,SMS,17,20,10000,17,0,0,0,8
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,15,WhatsApp,40,40,8300,33,1,6,0,11
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,16,Call/IVR,16,16,5800,6,0,0,10,9
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,16,Email,55,55,2100,43,2,10,0,16
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,16,SMS,16,18,9000,16,0,0,0,8
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,16,WhatsApp,41,41,8200,36,1,4,0,14
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,17,Call/IVR,22,22,1860,3,0,0,19,9
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,17,Email,51,51,2000,42,0,9,0,14
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,17,SMS,15,19,9500,15,0,0,0,7
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,17,WhatsApp,46,46,8250,36,2,8,0,12
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,18,Email,46,46,1800,40,0,6,0,13
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,18,SMS,18,21,10500,18,0,0,0,8
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,18,WhatsApp,39,39,8600,33,1,5,0,13
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,19,Email,56,56,2050,44,1,11,0,15
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,19,SMS,19,26,13000,19,0,0,0,8
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,19,WhatsApp,47,47,8700,40,0,7,0,11
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,20,Email,51,51,1950,40,2,9,0,14
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,20,SMS,23,28,12500,22,1,0,0,9
2025-01-20,2025-01-20,01,2025-01,2025-W04,Monday,1,20,WhatsApp,43,43,8700,37,0,6,0,14
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,8,Call/IVR,20,20,5540,5,1,0,14,9
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,8,Email,53,53,2200,47,0,6,0,12
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,8,SMS,19,21,9000,18,1,0,0,7
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,8,WhatsApp,67,67,14650,62,2,3,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,9,Call/IVR,15,15,5360,7,0,0,8,10
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,9,Email,49,49,2100,43,0,6,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,9,SMS,17,20,10000,17,0,0,0,8
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,9,WhatsApp,43,43,9550,35,1,7,0,11
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,10,Call/IVR,10,10,760,1,0,0,9,5
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,10,Email,46,46,1800,37,0,9,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,10,SMS,15,20,10000,15,0,0,0,5
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,10,WhatsApp,44,44,10450,39,0,5,0,10
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,11,Call/IVR,16,16,2460,3,0,0,13,8
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,11,Email,41,41,1550,32,1,8,0,11
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,11,SMS,15,17,8500,15,0,0,0,9
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,11,WhatsApp,39,39,8050,34,1,4,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,12,Call/IVR,17,17,2760,3,1,0,13,9
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,12,Email,41,41,1550,32,1,8,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,12,SMS,9,9,4500,9,0,0,0,6
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,12,WhatsApp,32,32,5500,24,3,5,0,14
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,13,Call/IVR,15,15,2140,3,0,0,12,8
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,13,Email,57,57,2450,49,2,6,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,13,SMS,26,32,16000,26,0,0,0,10
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,13,WhatsApp,33,33,5950,27,2,4,0,11
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,14,Call/IVR,17,17,2300,3,0,0,14,9
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,14,Email,49,49,1800,37,0,12,0,14
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,14,SMS,19,19,9500,19,0,0,0,7
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,14,WhatsApp,44,44,9450,42,0,2,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,15,Call/IVR,15,15,4920,7,0,0,8,10
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,15,Email,45,45,1750,36,0,9,0,14
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,15,SMS,21,26,13000,21,0,0,0,10
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,15,WhatsApp,38,38,7950,33,0,5,0,12
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,16,Call/IVR,14,14,4000,4,0,0,10,6
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,16,Email,52,52,1800,37,1,14,0,15
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,16,SMS,14,14,7000,14,0,0,0,7
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,16,WhatsApp,41,41,8750,34,1,6,0,15
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,17,Call/IVR,18,18,3380,4,0,0,14,8
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,17,Email,45,45,1600,32,2,11,0,17
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,17,SMS,16,19,9500,16,0,0,0,5
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,17,WhatsApp,39,39,8500,34,1,4,0,11
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,18,Email,36,36,1450,30,1,5,0,12
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,18,SMS,20,27,13500,20,0,0,0,13
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,18,WhatsApp,27,27,4250,20,0,7,0,11
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,19,Email,60,60,2250,48,1,11,0,12
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,19,SMS,13,16,8000,13,0,0,0,6
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,19,WhatsApp,42,42,8350,35,2,5,0,11
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,20,Email,47,47,1700,35,0,12,0,15
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,20,SMS,13,15,7500,13,0,0,0,8
2025-01-21,2025-01-21,01,2025-01,2025-W04,Tuesday,2,20,WhatsApp,34,34,6200,28,0,6,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,8,Call/IVR,20,20,5480,6,0,0,14,6
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,8,Email,50,50,1950,41,1,8,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,8,SMS,17,19,9500,17,0,0,0,7
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,8,WhatsApp,33,33,5750,27,1,5,0,10
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,9,Call/IVR,11,11,1580,3,0,0,8,8
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,9,Email,57,57,2200,46,1,10,0,15
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,9,SMS,17,17,8500,17,0,0,0,11
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,9,WhatsApp,39,39,7500,31,0,8,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,10,Call/IVR,9,9,940,2,0,0,7,7
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,10,Email,49,49,1650,34,0,15,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,10,SMS,17,20,10000,17,0,0,0,8
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,10,WhatsApp,35,35,7200,28,1,6,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,11,Call/IVR,22,22,1320,2,0,0,20,8
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,11,Email,47,47,1750,37,1,9,0,14
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,11,SMS,25,35,17500,25,0,0,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,11,WhatsApp,43,43,9200,37,1,5,0,15
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,12,Call/IVR,23,23,2640,4,0,0,19,9
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,12,Email,53,53,2150,44,0,9,0,15
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,12,SMS,11,11,5500,11,0,0,0,7
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,12,WhatsApp,41,41,8150,33,1,7,0,10
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,13,Call/IVR,17,17,2940,3,0,0,14,7
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,13,Email,40,40,1450,30,0,10,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,13,SMS,19,22,11000,19,0,0,0,8
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,13,WhatsApp,54,54,9350,44,1,9,0,14
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,14,Call/IVR,23,23,4780,5,0,0,18,9
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,14,Email,63,63,2600,54,1,8,0,11
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,14,SMS,12,12,5500,11,1,0,0,6
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,14,WhatsApp,49,49,11350,44,2,3,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,15,Call/IVR,16,16,1560,3,0,0,13,9
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,15,Email,60,60,2650,53,1,6,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,15,SMS,22,22,11000,22,0,0,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,15,WhatsApp,44,44,9000,37,1,6,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,16,Call/IVR,15,15,2320,3,0,0,12,9
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,16,Email,45,45,1700,36,0,9,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,16,SMS,24,27,13500,24,0,0,0,11
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,16,WhatsApp,45,45,8650,36,2,7,0,15
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,17,Call/IVR,22,22,4640,6,1,0,15,9
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,17,Email,57,57,2300,51,1,5,0,10
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,17,SMS,21,28,14000,21,0,0,0,11
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,17,WhatsApp,47,47,9900,40,0,7,0,11
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,18,Email,42,42,1400,29,1,12,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,18,SMS,17,20,10000,17,0,0,0,10
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,18,WhatsApp,53,53,11000,41,1,11,0,16
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,19,Email,53,53,2150,43,0,10,0,15
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,19,SMS,16,20,10000,16,0,0,0,7
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,19,WhatsApp,41,41,7300,34,2,5,0,12
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,20,Email,49,49,2050,42,1,6,0,13
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,20,SMS,16,19,9500,16,0,0,0,7
2025-01-22,2025-01-22,01,2025-01,2025-W04,Wednesday,3,20,WhatsApp,43,43,10850,39,0,4,0,9
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,8,Call/IVR,22,22,5300,6,0,0,16,11
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,8,Email,43,43,1650,36,1,6,0,10
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,8,SMS,16,19,9500,16,0,0,0,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,8,WhatsApp,59,59,13200,52,1,6,0,15
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,9,Call/IVR,11,11,780,1,1,0,9,6
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,9,Email,49,49,1900,39,1,9,0,12
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,9,SMS,23,32,16000,23,0,0,0,9
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,9,WhatsApp,42,42,9700,37,1,4,0,11
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,10,Call/IVR,17,17,2280,3,0,0,14,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,10,Email,49,49,2150,43,1,5,0,14
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,10,SMS,21,24,12000,21,0,0,0,10
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,10,WhatsApp,52,52,12150,45,2,5,0,14
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,11,Call/IVR,12,12,1400,2,0,0,10,7
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,11,Email,46,46,1450,31,3,12,0,13
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,11,SMS,18,19,9500,18,0,0,0,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,11,WhatsApp,47,47,8750,40,2,5,0,12
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,12,Call/IVR,13,13,1180,1,0,0,12,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,12,Email,46,46,1750,36,0,10,0,12
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,12,SMS,22,31,15500,22,0,0,0,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,12,WhatsApp,58,58,12300,49,1,8,0,16
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,13,Call/IVR,12,12,4080,4,0,0,8,7
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,13,Email,50,50,1750,36,0,14,0,13
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,13,SMS,13,16,8000,13,0,0,0,7
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,13,WhatsApp,35,35,7750,32,0,3,0,10
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,14,Call/IVR,10,10,980,2,0,0,8,6
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,14,Email,42,42,1500,31,1,10,0,13
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,14,SMS,10,10,5000,10,0,0,0,6
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,14,WhatsApp,51,51,10100,43,1,7,0,15
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,15,Call/IVR,21,21,4360,5,0,0,16,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,15,Email,48,48,1850,37,2,9,0,14
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,15,SMS,12,15,7500,12,0,0,0,6
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,15,WhatsApp,44,44,7800,39,0,5,0,15
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,16,Call/IVR,17,17,4760,4,0,0,13,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,16,Email,44,44,1850,37,0,7,0,13
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,16,SMS,21,22,10500,20,1,0,0,9
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,16,WhatsApp,33,33,7650,31,0,2,0,11
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,17,Call/IVR,12,12,3180,4,0,0,8,8
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,17,Email,58,58,2350,49,0,9,0,14
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,17,SMS,15,15,7500,15,0,0,0,6
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,17,WhatsApp,34,34,7300,31,0,3,0,10
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,18,Email,48,48,1550,33,3,12,0,15
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,18,SMS,9,9,4500,9,0,0,0,7
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,18,WhatsApp,41,41,9250,35,1,5,0,15
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,19,Email,46,46,1700,35,1,10,0,13
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,19,SMS,23,26,13000,23,0,0,0,7
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,19,WhatsApp,51,51,10100,43,0,8,0,11
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,20,Email,49,49,2000,40,1,8,0,15
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,20,SMS,18,18,9000,18,0,0,0,7
2025-01-23,2025-01-23,01,2025-01,2025-W04,Thursday,4,20,WhatsApp,39,39,8300,33,2,4,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,8,Call/IVR,17,17,2700,4,0,0,13,7
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,8,Email,36,36,1550,32,0,4,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,8,SMS,21,26,13000,21,0,0,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,8,WhatsApp,56,56,9550,45,1,10,0,13
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,9,Call/IVR,12,12,2420,3,0,0,9,6
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,9,Email,57,57,2350,49,1,7,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,9,SMS,20,20,10000,20,0,0,0,10
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,9,WhatsApp,41,41,7950,32,2,7,0,10
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,10,Call/IVR,17,17,2280,4,0,0,13,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,10,Email,31,31,1350,29,0,2,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,10,SMS,19,19,9500,19,0,0,0,10
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,10,WhatsApp,47,47,11900,42,1,4,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,11,Call/IVR,22,22,7300,7,0,0,15,7
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,11,Email,58,58,2350,49,1,8,0,15
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,11,SMS,20,25,12500,20,0,0,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,11,WhatsApp,41,41,8050,34,0,7,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,12,Call/IVR,21,21,3760,4,1,0,16,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,12,Email,48,48,1850,38,1,9,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,12,SMS,16,17,8500,16,0,0,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,12,WhatsApp,36,36,8250,30,0,6,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,13,Call/IVR,15,15,5080,5,0,0,10,8
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,13,Email,47,47,1600,34,4,9,0,13
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,13,SMS,24,28,14000,24,0,0,0,10
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,13,WhatsApp,40,40,8950,34,0,6,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,14,Call/IVR,17,17,5200,4,0,0,13,8
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,14,Email,42,42,1600,33,1,8,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,14,SMS,18,18,9000,18,0,0,0,8
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,14,WhatsApp,46,46,9550,41,0,5,0,15
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,15,Call/IVR,16,16,10180,6,0,0,10,10
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,15,Email,47,47,1800,37,0,10,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,15,SMS,18,18,9000,18,0,0,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,15,WhatsApp,44,44,10050,39,0,5,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,16,Call/IVR,21,21,5500,5,1,0,15,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,16,Email,54,54,2050,46,0,8,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,16,SMS,16,16,7500,15,1,0,0,7
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,16,WhatsApp,40,40,7150,31,1,8,0,13
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,17,Call/IVR,14,14,5720,6,0,0,8,5
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,17,Email,54,54,2000,45,1,8,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,17,SMS,16,20,10000,16,0,0,0,7
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,17,WhatsApp,50,50,10550,44,0,6,0,14
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,18,Email,57,57,2350,50,0,7,0,13
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,18,SMS,18,18,9000,18,0,0,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,18,WhatsApp,45,45,9250,41,0,4,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,19,Email,38,38,1200,29,1,8,0,12
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,19,SMS,19,24,12000,19,0,0,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,19,WhatsApp,34,34,6850,30,0,4,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,20,Email,40,40,1600,32,1,7,0,11
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,20,SMS,16,22,11000,16,0,0,0,9
2025-01-24,2025-01-24,01,2025-01,2025-W04,Friday,5,20,WhatsApp,40,40,9350,35,0,5,0,12
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,8,Call/IVR,16,16,0,0,0,0,16,9
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,8,Email,52,52,1850,38,2,12,0,10
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,8,SMS,24,24,12000,24,0,0,0,10
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,8,WhatsApp,34,34,4950,23,0,11,0,14
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,9,Call/IVR,16,16,3640,6,0,0,10,11
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,9,Email,52,52,2200,46,0,6,0,12
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,9,SMS,15,15,7500,15,0,0,0,7
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,9,WhatsApp,49,49,7750,37,1,11,0,13
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,10,Call/IVR,22,22,4300,5,0,0,17,9
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,10,Email,60,60,2450,53,0,7,0,15
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,10,SMS,17,22,11000,17,0,0,0,11
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,10,WhatsApp,37,37,7150,31,1,5,0,10
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,11,Call/IVR,13,13,300,1,0,0,12,8
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,11,Email,53,53,2250,48,0,5,0,12
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,11,SMS,12,14,7000,12,0,0,0,8
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,11,WhatsApp,53,53,10100,42,1,10,0,15
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,12,Call/IVR,13,13,3740,4,0,0,9,8
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,12,Email,39,39,1300,28,1,10,0,12
2025-01-25,2025-01-25,01,2025-01,2025-W04,Saturday,6,12,SMS,13,15,7500,13,0,0,0,6
